nome_municipio;sigla_uf;dh_mortos;dh_feridos;dh_desabrigados;da_polui_cont_do_solo;da_polui_cont_do_ar;descricao_tipologia;grupo_de_desastre
Belo Horizonte;DF;0;2;7;1;0;Subsidência/Colapso de solo;Incêndios Florestais
Brasília;RJ;0;0;9;0;0;Subsidência/Colapso de solo;Geológico
Porto Alegre;RR;0;5;7;0;0;Subsidência/Colapso de solo;Geológico
Porto Alegre;ES;0;1;9;1;0;Erosão Costeira;Geológico
Catalão;PE;1;2;8;1;0;Alagamentos;Climatológico
Porto Alegre;AP;0;0;12;0;1;Vendavais e Ciclones;Hidrológico
Anápolis;AP;0;1;8;0;0;Chuvas Intensas;Incêndios Florestais
Valparaíso de Goiás;RO;0;0;10;0;1;Subsidência/Colapso de solo;Climatológico
Belo Horizonte;PR;1;0;14;0;0;Chuvas Intensas;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Catalão;DF;0;0;11;0;1;Enxurradas;Geológico
Salvador;MT;0;0;14;0;0;Deslizamentos de terra;Climatológico
Trindade;BA;0;1;12;0;0;Geada/Frentes frias;Climatológico
Curitiba;DF;0;2;9;1;0;Erosão Costeira;Meteorológico
Jataí;MA;0;1;7;0;0;Inundações graduais;Desastres Tecnológicos (simulando contaminação como consequência)
Aparecida de Goiânia;MG;0;0;10;1;0;Tornados;Climatológico
Goiânia;AL;0;3;10;1;0;Subsidência/Colapso de solo;Hidrológico
São Paulo;RJ;0;2;4;0;0;Tornados;Incêndios Florestais
Aparecida de Goiânia;GO;0;0;8;1;0;Chuvas Intensas;Incêndios Florestais
Goiânia;BA;0;3;12;0;0;Geada/Frentes frias;Geológico
Aparecida de Goiânia;RN;0;1;9;0;1;Secas e estiagens;Incêndios Florestais
Valparaíso de Goiás;PB;0;1;8;0;0;Inundações graduais;Hidrológico
Trindade;AL;0;2;4;0;0;Chuvas Intensas;Geológico
Anápolis;ES;0;3;12;0;0;Alagamentos;Hidrológico
Trindade;RJ;1;1;8;0;0;Erosão Costeira;Climatológico
Goiânia;RS;0;2;9;0;0;Erosão Costeira;Desastres Tecnológicos (simulando contaminação como consequência)
Valparaíso de Goiás;BA;0;0;10;0;0;Vendavais e Ciclones;Geológico
Rio Verde;MA;0;2;14;0;0;Inundações graduais;Hidrológico
São Paulo;RR;0;2;8;0;0;Alagamentos;Geológico
Luziânia;AM;0;4;7;0;0;Deslizamentos de terra;Hidrológico
Rio de Janeiro;TO;0;0;12;0;1;Vendavais e Ciclones;Desastres Tecnológicos (simulando contaminação como consequência)
Belo Horizonte;MG;0;1;13;0;0;Granizo;Incêndios Florestais
Valparaíso de Goiás;AL;0;4;8;0;0;Secas e estiagens;Geológico
Luziânia;BA;0;0;11;0;0;Incêndios florestais;Climatológico
Belo Horizonte;PB;1;2;10;0;0;Granizo;Climatológico
Brasília;AL;1;1;9;0;0;Chuvas Intensas;Meteorológico
Catalão;MS;0;2;8;0;0;Secas e estiagens;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Salvador;SE;0;0;12;0;0;Geada/Frentes frias;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Valparaíso de Goiás;MS;0;4;8;0;0;Chuvas Intensas;Climatológico
Jataí;PI;1;1;12;0;0;Incêndios florestais;Meteorológico
Anápolis;DF;0;3;13;0;0;Subsidência/Colapso de solo;Desastres Tecnológicos (simulando contaminação como consequência)
Anápolis;AL;0;3;16;0;0;Secas e estiagens;Meteorológico
Aparecida de Goiânia;RR;0;0;9;0;0;Geada/Frentes frias;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Trindade;RR;0;1;12;0;0;Erosão Costeira;Climatológico
Jataí;AC;0;2;8;0;0;Chuvas Intensas;Geológico
Curitiba;CE;1;1;11;0;0;Tornados;Hidrológico
Belo Horizonte;MT;0;0;7;0;0;Tornados;Incêndios Florestais
Fortaleza;RO;0;4;9;0;0;Alagamentos;Geológico
Aparecida de Goiânia;PE;0;0;13;0;0;Subsidência/Colapso de solo;Meteorológico
Anápolis;CE;0;0;10;0;0;Erosão Costeira;Climatológico
São Paulo;PI;0;2;11;0;0;Granizo;Hidrológico
Recife;MG;0;2;14;1;1;Tornados;Climatológico
São Paulo;CE;0;1;10;0;0;Tornados;Hidrológico
Valparaíso de Goiás;MG;0;2;13;0;0;Tornados;Desastres Tecnológicos (simulando contaminação como consequência)
Rio Verde;MS;0;0;12;0;0;Granizo;Geológico
Aparecida de Goiânia;SE;0;0;10;0;0;Geada/Frentes frias;Meteorológico
Rio de Janeiro;CE;0;2;12;0;0;Chuvas Intensas;Hidrológico
Salvador;TO;0;0;10;0;0;Secas e estiagens;Meteorológico
Itumbiara;AC;1;4;12;0;0;Secas e estiagens;Hidrológico
Belo Horizonte;RR;0;0;15;1;0;Subsidência/Colapso de solo;Geológico
Porto Alegre;RO;0;3;9;0;0;Secas e estiagens;Desastres Tecnológicos (simulando contaminação como consequência)
Fortaleza;DF;0;2;12;0;0;Erosão Costeira;Hidrológico
Aparecida de Goiânia;AP;0;1;5;1;0;Subsidência/Colapso de solo;Hidrológico
Valparaíso de Goiás;PB;0;2;6;0;0;Erosão Costeira;Hidrológico
Belo Horizonte;RN;0;1;14;0;1;Inundações graduais;Meteorológico
Rio de Janeiro;TO;0;2;10;0;0;Subsidência/Colapso de solo;Meteorológico
Brasília;RS;1;0;12;1;1;Incêndios florestais;Incêndios Florestais
Manaus;CE;0;0;5;0;0;Enxurradas;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Porto Alegre;MG;0;4;11;0;0;Geada/Frentes frias;Meteorológico
Valparaíso de Goiás;MA;0;0;7;0;0;Incêndios florestais;Climatológico
Valparaíso de Goiás;CE;0;1;7;0;1;Geada/Frentes frias;Meteorológico
Porto Alegre;PA;0;1;9;0;0;Enxurradas;Hidrológico
Brasília;RR;0;1;10;0;0;Enxurradas;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Belo Horizonte;MA;0;2;6;1;0;Vendavais e Ciclones;Climatológico
Goiânia;RN;1;1;11;0;0;Inundações graduais;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Aparecida de Goiânia;SC;0;0;10;0;0;Secas e estiagens;Geológico
Rio de Janeiro;MG;0;2;6;0;0;Chuvas Intensas;Geológico
Jataí;MG;0;3;7;0;0;Enxurradas;Geológico
Brasília;RN;0;0;10;1;0;Geada/Frentes frias;Geológico
Porto Alegre;SC;0;0;9;1;0;Chuvas Intensas;Incêndios Florestais
Itumbiara;RR;0;1;12;0;0;Alagamentos;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Rio Verde;CE;0;2;11;1;0;Alagamentos;Meteorológico
Rio de Janeiro;AL;1;0;12;0;0;Erosão Costeira;Hidrológico
Valparaíso de Goiás;PA;0;3;12;0;0;Secas e estiagens;Climatológico
Curitiba;AC;0;4;12;0;0;Alagamentos;Hidrológico
São Paulo;AL;0;1;9;0;0;Granizo;Meteorológico
Rio de Janeiro;MG;0;1;8;0;0;Secas e estiagens;Climatológico
Anápolis;RN;0;1;11;0;0;Vendavais e Ciclones;Desastres Tecnológicos (simulando contaminação como consequência)
São Paulo;RN;0;0;6;0;0;Erosão Costeira;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Jataí;MT;0;4;7;0;1;Erosão Costeira;Meteorológico
Anápolis;AC;1;0;9;1;0;Secas e estiagens;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Goiânia;SC;0;0;8;0;0;Vendavais e Ciclones;Incêndios Florestais
Goiânia;PI;1;2;11;0;0;Alagamentos;Incêndios Florestais
Luziânia;PE;0;1;11;0;0;Granizo;Desastres Tecnológicos (simulando contaminação como consequência)
Itumbiara;MG;0;1;8;0;0;Vendavais e Ciclones;Incêndios Florestais
Recife;SC;0;1;15;0;0;Subsidência/Colapso de solo;Meteorológico
Curitiba;GO;0;2;13;1;0;Erosão Costeira;Geológico
São Paulo;PI;0;2;7;0;0;Erosão Costeira;Climatológico
Rio Verde;SE;0;1;9;0;0;Subsidência/Colapso de solo;Meteorológico
Anápolis;AL;0;1;9;0;0;Incêndios florestais;Incêndios Florestais
São Paulo;AP;0;1;9;1;0;Enxurradas;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Belo Horizonte;RO;1;3;10;0;0;Erosão Costeira;Hidrológico
Fortaleza;RN;0;0;18;0;0;Inundações graduais;Hidrológico
Rio Verde;PB;1;4;11;0;0;Geada/Frentes frias;Climatológico
Manaus;PB;0;0;7;1;0;Geada/Frentes frias;Meteorológico
Curitiba;RR;0;4;13;0;0;Secas e estiagens;Desastres Tecnológicos (simulando contaminação como consequência)
Anápolis;AC;0;3;13;1;0;Incêndios florestais;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Curitiba;RO;0;3;4;0;0;Tornados;Meteorológico
Curitiba;PR;0;0;14;0;0;Enxurradas;Geológico
Rio de Janeiro;SP;0;2;14;0;0;Enxurradas;Meteorológico
São Paulo;CE;0;2;9;0;0;Tornados;Desastres Tecnológicos (simulando contaminação como consequência)
Rio Verde;MA;0;0;12;0;0;Enxurradas;Geológico
Curitiba;DF;0;2;9;0;0;Enxurradas;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Fortaleza;TO;2;0;12;1;0;Enxurradas;Incêndios Florestais
Manaus;SE;0;1;13;1;0;Alagamentos;Climatológico
Jataí;AL;0;0;10;0;0;Enxurradas;Climatológico
São Paulo;RJ;0;0;11;0;0;Granizo;Geológico
Luziânia;RJ;0;1;9;0;0;Subsidência/Colapso de solo;Climatológico
Trindade;AP;0;2;13;0;0;Vendavais e Ciclones;Meteorológico
Manaus;RS;0;3;7;0;0;Incêndios florestais;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Aparecida de Goiânia;AC;0;3;8;0;0;Vendavais e Ciclones;Incêndios Florestais
Itumbiara;CE;0;1;12;0;0;Vendavais e Ciclones;Meteorológico
Anápolis;RR;0;0;9;0;0;Geada/Frentes frias;Geológico
Manaus;PR;0;1;10;0;0;Secas e estiagens;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Fortaleza;MS;0;2;8;0;0;Secas e estiagens;Hidrológico
Catalão;RO;1;0;8;1;0;Granizo;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Jataí;RN;0;0;6;0;0;Vendavais e Ciclones;Desastres Tecnológicos (simulando contaminação como consequência)
Goiânia;RJ;1;3;14;0;0;Subsidência/Colapso de solo;Desastres Tecnológicos (simulando contaminação como consequência)
Porto Alegre;PR;0;2;14;0;0;Subsidência/Colapso de solo;Incêndios Florestais
Salvador;AP;1;1;12;0;0;Subsidência/Colapso de solo;Hidrológico
Aparecida de Goiânia;RJ;0;1;7;0;0;Vendavais e Ciclones;Meteorológico
Rio de Janeiro;PR;0;2;9;0;1;Alagamentos;Desastres Tecnológicos (simulando contaminação como consequência)
Anápolis;TO;0;1;14;0;0;Tornados;Incêndios Florestais
Aparecida de Goiânia;BA;0;2;13;1;0;Incêndios florestais;Desastres Biológicos (ex: epidemias relacionadas a desastres)
São Paulo;RO;1;0;11;1;0;Chuvas Intensas;Geológico
Goiânia;RN;0;1;14;0;0;Granizo;Meteorológico
Brasília;MG;0;2;11;0;0;Chuvas Intensas;Geológico
Porto Alegre;PB;1;2;4;0;0;Alagamentos;Meteorológico
Valparaíso de Goiás;SC;0;0;11;1;0;Tornados;Meteorológico
Brasília;DF;0;0;11;0;0;Chuvas Intensas;Meteorológico
Rio Verde;AL;0;1;6;0;0;Subsidência/Colapso de solo;Geológico
Belo Horizonte;RS;0;3;10;0;0;Vendavais e Ciclones;Incêndios Florestais
Goiânia;AL;0;2;15;0;0;Tornados;Geológico
Fortaleza;SP;0;2;13;0;0;Secas e estiagens;Geológico
Catalão;DF;0;3;9;0;0;Deslizamentos de terra;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Salvador;ES;1;1;16;0;0;Deslizamentos de terra;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Goiânia;RJ;0;0;6;1;0;Granizo;Meteorológico
Belo Horizonte;CE;0;1;8;0;0;Enxurradas;Geológico
São Paulo;MG;0;0;12;0;0;Alagamentos;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Recife;SE;1;1;14;0;0;Tornados;Desastres Tecnológicos (simulando contaminação como consequência)
Recife;TO;1;3;11;1;0;Enxurradas;Incêndios Florestais
Recife;RR;1;3;11;1;0;Deslizamentos de terra;Geológico
São Paulo;DF;0;2;12;0;0;Deslizamentos de terra;Geológico
Recife;MG;0;3;11;0;0;Vendavais e Ciclones;Geológico
Goiânia;AM;0;2;9;0;0;Incêndios florestais;Meteorológico
Manaus;DF;0;1;11;0;0;Subsidência/Colapso de solo;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Trindade;MT;0;4;9;0;0;Granizo;Incêndios Florestais
São Paulo;MG;2;0;12;0;0;Enxurradas;Hidrológico
Rio de Janeiro;MA;0;3;10;0;0;Alagamentos;Geológico
Anápolis;PB;0;0;10;0;0;Incêndios florestais;Climatológico
Goiânia;MT;1;3;13;0;0;Deslizamentos de terra;Desastres Tecnológicos (simulando contaminação como consequência)
Aparecida de Goiânia;SC;0;0;12;0;0;Vendavais e Ciclones;Desastres Tecnológicos (simulando contaminação como consequência)
São Paulo;RO;0;1;7;0;0;Incêndios florestais;Incêndios Florestais
Porto Alegre;AC;0;3;11;0;0;Tornados;Hidrológico
Curitiba;AC;1;0;6;0;0;Tornados;Climatológico
São Paulo;MT;0;0;7;0;0;Erosão Costeira;Geológico
Fortaleza;RO;0;0;12;0;0;Secas e estiagens;Climatológico
Itumbiara;DF;0;0;14;0;0;Erosão Costeira;Desastres Tecnológicos (simulando contaminação como consequência)
Salvador;ES;0;1;17;0;0;Alagamentos;Desastres Tecnológicos (simulando contaminação como consequência)
Porto Alegre;MG;0;1;9;0;0;Alagamentos;Hidrológico
Curitiba;PB;0;2;12;0;0;Inundações graduais;Hidrológico
Belo Horizonte;PI;0;1;10;0;0;Chuvas Intensas;Hidrológico
Brasília;RR;1;3;10;1;0;Incêndios florestais;Incêndios Florestais
Fortaleza;BA;0;0;8;0;1;Chuvas Intensas;Incêndios Florestais
Anápolis;AM;3;0;7;0;1;Tornados;Incêndios Florestais
Salvador;SC;0;1;11;0;0;Vendavais e Ciclones;Meteorológico
Jataí;ES;0;4;11;0;0;Erosão Costeira;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Salvador;RN;0;3;12;0;1;Erosão Costeira;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Salvador;AP;0;0;4;1;1;Tornados;Meteorológico
Luziânia;RJ;0;2;6;0;1;Chuvas Intensas;Hidrológico
Manaus;RN;1;1;7;0;0;Geada/Frentes frias;Incêndios Florestais
Manaus;AM;0;1;6;0;0;Tornados;Desastres Tecnológicos (simulando contaminação como consequência)
Rio de Janeiro;MA;0;1;13;0;0;Enxurradas;Geológico
São Paulo;RN;1;1;14;0;1;Chuvas Intensas;Hidrológico
Valparaíso de Goiás;AC;0;3;10;1;0;Tornados;Incêndios Florestais
Catalão;CE;1;1;8;0;0;Tornados;Geológico
Recife;AM;1;4;9;0;0;Erosão Costeira;Climatológico
Trindade;PA;0;2;13;1;0;Enxurradas;Incêndios Florestais
Salvador;BA;0;2;9;0;0;Alagamentos;Incêndios Florestais
Rio de Janeiro;PI;0;1;8;1;1;Enxurradas;Climatológico
São Paulo;PB;0;1;13;0;0;Erosão Costeira;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Itumbiara;RN;0;1;9;0;1;Subsidência/Colapso de solo;Meteorológico
Catalão;ES;1;1;9;0;0;Vendavais e Ciclones;Hidrológico
Trindade;RO;0;1;5;0;0;Alagamentos;Climatológico
Trindade;RS;0;0;10;0;1;Tornados;Climatológico
Salvador;TO;0;1;8;0;0;Enxurradas;Geológico
Aparecida de Goiânia;MT;0;2;4;0;1;Chuvas Intensas;Hidrológico
Anápolis;MT;0;1;10;1;0;Granizo;Geológico
Salvador;ES;0;2;4;0;0;Deslizamentos de terra;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Luziânia;AP;0;2;6;1;0;Subsidência/Colapso de solo;Meteorológico
Curitiba;RS;0;1;11;0;0;Deslizamentos de terra;Desastres Tecnológicos (simulando contaminação como consequência)
Salvador;SP;0;0;9;0;0;Enxurradas;Climatológico
Catalão;RS;0;4;10;1;0;Chuvas Intensas;Climatológico
Rio Verde;GO;0;0;10;1;0;Tornados;Hidrológico
Recife;MA;0;1;16;0;0;Erosão Costeira;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Manaus;SP;0;2;9;0;0;Geada/Frentes frias;Climatológico
Manaus;RO;0;1;8;0;0;Alagamentos;Incêndios Florestais
Aparecida de Goiânia;AM;0;2;13;0;0;Alagamentos;Hidrológico
Catalão;RO;0;1;7;0;0;Alagamentos;Desastres Tecnológicos (simulando contaminação como consequência)
Goiânia;PA;1;0;9;0;0;Enxurradas;Climatológico
Aparecida de Goiânia;PI;0;1;12;0;0;Chuvas Intensas;Incêndios Florestais
Anápolis;PI;0;0;15;0;0;Chuvas Intensas;Incêndios Florestais
Anápolis;MG;0;3;8;0;0;Erosão Costeira;Incêndios Florestais
Anápolis;MA;0;1;12;0;0;Vendavais e Ciclones;Desastres Tecnológicos (simulando contaminação como consequência)
Rio Verde;SP;0;0;8;0;0;Enxurradas;Climatológico
Curitiba;DF;1;2;6;0;0;Vendavais e Ciclones;Hidrológico
Aparecida de Goiânia;AP;0;1;13;0;0;Inundações graduais;Incêndios Florestais
Trindade;SP;0;3;11;0;0;Vendavais e Ciclones;Meteorológico
Luziânia;AP;0;2;8;1;0;Erosão Costeira;Hidrológico
Brasília;MA;0;3;18;0;1;Granizo;Geológico
Itumbiara;PI;0;2;11;0;0;Chuvas Intensas;Hidrológico
Luziânia;MA;0;0;6;0;0;Tornados;Hidrológico
São Paulo;GO;0;1;9;1;0;Vendavais e Ciclones;Incêndios Florestais
Curitiba;RR;0;3;11;0;0;Vendavais e Ciclones;Meteorológico
Goiânia;RR;0;1;7;0;0;Erosão Costeira;Hidrológico
Trindade;MS;0;0;7;0;0;Tornados;Desastres Tecnológicos (simulando contaminação como consequência)
Porto Alegre;PR;0;1;7;0;0;Enxurradas;Geológico
Belo Horizonte;MG;0;0;13;0;0;Vendavais e Ciclones;Hidrológico
Curitiba;MT;1;4;11;0;0;Deslizamentos de terra;Desastres Tecnológicos (simulando contaminação como consequência)
Itumbiara;DF;1;1;9;0;0;Geada/Frentes frias;Incêndios Florestais
Fortaleza;AL;0;3;10;0;0;Erosão Costeira;Hidrológico
São Paulo;RN;1;3;11;0;0;Incêndios florestais;Geológico
Trindade;PI;1;0;5;0;0;Enxurradas;Hidrológico
Porto Alegre;PB;0;3;9;0;0;Geada/Frentes frias;Meteorológico
Curitiba;MG;0;1;8;1;1;Secas e estiagens;Incêndios Florestais
Fortaleza;SC;0;2;12;0;1;Geada/Frentes frias;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Goiânia;DF;0;1;13;0;0;Granizo;Hidrológico
Anápolis;RR;1;0;13;0;0;Inundações graduais;Geológico
São Paulo;RN;0;1;6;1;1;Alagamentos;Incêndios Florestais
Anápolis;MS;1;2;17;0;0;Enxurradas;Meteorológico
Brasília;PR;0;2;13;0;0;Granizo;Desastres Tecnológicos (simulando contaminação como consequência)
Rio Verde;RO;1;2;9;1;0;Alagamentos;Meteorológico
Anápolis;RO;0;0;9;0;0;Alagamentos;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Fortaleza;CE;0;2;9;0;0;Erosão Costeira;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Rio de Janeiro;RS;0;1;12;0;0;Vendavais e Ciclones;Meteorológico
Belo Horizonte;PI;0;0;6;0;1;Vendavais e Ciclones;Desastres Tecnológicos (simulando contaminação como consequência)
Valparaíso de Goiás;RR;0;0;16;0;0;Secas e estiagens;Climatológico
Catalão;AP;0;1;16;0;1;Granizo;Geológico
Rio de Janeiro;PA;1;0;8;0;0;Chuvas Intensas;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Brasília;RR;2;0;10;0;0;Enxurradas;Climatológico
Rio Verde;ES;0;3;9;0;0;Granizo;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Aparecida de Goiânia;PB;1;1;6;1;0;Chuvas Intensas;Geológico
Brasília;DF;0;1;15;0;0;Erosão Costeira;Meteorológico
Valparaíso de Goiás;RN;0;0;11;0;0;Tornados;Geológico
Brasília;PE;0;1;4;0;0;Chuvas Intensas;Desastres Tecnológicos (simulando contaminação como consequência)
Brasília;AC;0;1;14;1;0;Chuvas Intensas;Climatológico
Anápolis;PI;0;1;5;0;0;Granizo;Climatológico
Goiânia;RN;0;0;13;1;0;Tornados;Desastres Tecnológicos (simulando contaminação como consequência)
Brasília;TO;0;0;11;0;0;Alagamentos;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Manaus;MS;0;3;8;0;0;Incêndios florestais;Geológico
Luziânia;PR;0;5;9;1;0;Secas e estiagens;Geológico
Valparaíso de Goiás;PE;0;1;7;0;0;Vendavais e Ciclones;Incêndios Florestais
Porto Alegre;MG;0;0;12;0;0;Chuvas Intensas;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Luziânia;SP;0;2;5;0;0;Erosão Costeira;Desastres Tecnológicos (simulando contaminação como consequência)
Salvador;AC;0;0;9;1;0;Secas e estiagens;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Curitiba;BA;1;1;10;0;0;Incêndios florestais;Hidrológico
Manaus;MG;1;2;21;1;0;Alagamentos;Geológico
Goiânia;RN;0;1;11;0;0;Inundações graduais;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Brasília;DF;0;1;12;0;0;Erosão Costeira;Hidrológico
Luziânia;PB;0;1;12;1;0;Alagamentos;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Catalão;SC;0;1;15;0;0;Enxurradas;Incêndios Florestais
Anápolis;AP;0;1;11;0;0;Geada/Frentes frias;Incêndios Florestais
Aparecida de Goiânia;ES;0;3;7;0;0;Vendavais e Ciclones;Meteorológico
Aparecida de Goiânia;SP;0;0;11;0;0;Deslizamentos de terra;Incêndios Florestais
Manaus;AC;1;2;18;0;0;Subsidência/Colapso de solo;Incêndios Florestais
Salvador;GO;0;1;12;0;0;Incêndios florestais;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Anápolis;PA;0;2;7;0;0;Granizo;Hidrológico
Valparaíso de Goiás;PA;0;1;13;0;0;Geada/Frentes frias;Geológico
Trindade;SE;0;3;15;0;0;Chuvas Intensas;Desastres Tecnológicos (simulando contaminação como consequência)
São Paulo;SC;0;0;9;0;0;Geada/Frentes frias;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Trindade;CE;1;1;7;0;0;Secas e estiagens;Meteorológico
Jataí;RS;0;2;11;1;0;Incêndios florestais;Desastres Tecnológicos (simulando contaminação como consequência)
Curitiba;RO;0;4;12;0;0;Alagamentos;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Itumbiara;GO;0;1;9;0;0;Deslizamentos de terra;Incêndios Florestais
Itumbiara;MT;1;3;10;0;0;Incêndios florestais;Desastres Tecnológicos (simulando contaminação como consequência)
Goiânia;CE;0;0;5;0;0;Incêndios florestais;Meteorológico
Trindade;MA;0;0;10;0;0;Enxurradas;Geológico
Porto Alegre;GO;0;1;10;1;0;Enxurradas;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Itumbiara;CE;0;1;5;0;0;Incêndios florestais;Incêndios Florestais
Trindade;MS;0;1;6;0;0;Vendavais e Ciclones;Geológico
Recife;PI;0;0;6;0;1;Alagamentos;Meteorológico
Goiânia;RR;0;6;8;0;0;Deslizamentos de terra;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Catalão;RN;0;4;12;0;1;Tornados;Desastres Tecnológicos (simulando contaminação como consequência)
Aparecida de Goiânia;RS;0;0;12;1;0;Chuvas Intensas;Incêndios Florestais
Manaus;RO;0;0;13;0;0;Inundações graduais;Meteorológico
Rio Verde;RJ;0;0;13;0;0;Inundações graduais;Geológico
Rio Verde;AC;0;1;6;0;0;Vendavais e Ciclones;Hidrológico
Belo Horizonte;MG;0;0;12;0;0;Inundações graduais;Incêndios Florestais
Rio Verde;GO;0;0;12;0;1;Alagamentos;Desastres Tecnológicos (simulando contaminação como consequência)
Brasília;MG;0;2;9;0;0;Vendavais e Ciclones;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Brasília;PA;1;0;7;0;0;Secas e estiagens;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Salvador;MA;0;0;6;0;0;Deslizamentos de terra;Desastres Tecnológicos (simulando contaminação como consequência)
Valparaíso de Goiás;PR;0;0;7;0;1;Chuvas Intensas;Incêndios Florestais
Porto Alegre;GO;0;0;14;0;0;Incêndios florestais;Desastres Tecnológicos (simulando contaminação como consequência)
Fortaleza;SC;1;2;9;0;0;Inundações graduais;Incêndios Florestais
Aparecida de Goiânia;BA;1;1;13;0;0;Erosão Costeira;Hidrológico
Trindade;RO;0;0;14;0;0;Incêndios florestais;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Catalão;MT;0;2;7;0;0;Alagamentos;Geológico
Porto Alegre;RJ;0;0;9;0;0;Granizo;Climatológico
Recife;AM;0;2;7;0;0;Inundações graduais;Desastres Tecnológicos (simulando contaminação como consequência)
Jataí;RN;0;2;9;0;0;Geada/Frentes frias;Incêndios Florestais
Trindade;GO;0;1;13;0;0;Granizo;Geológico
Curitiba;MG;2;0;7;0;1;Alagamentos;Hidrológico
Brasília;CE;0;0;10;0;0;Subsidência/Colapso de solo;Desastres Tecnológicos (simulando contaminação como consequência)
Valparaíso de Goiás;SE;0;3;6;0;0;Secas e estiagens;Hidrológico
Curitiba;AP;0;1;10;0;0;Deslizamentos de terra;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Jataí;ES;1;1;11;0;0;Subsidência/Colapso de solo;Climatológico
Fortaleza;GO;0;1;4;0;0;Enxurradas;Climatológico
Anápolis;ES;0;2;10;0;0;Erosão Costeira;Desastres Tecnológicos (simulando contaminação como consequência)
Manaus;RS;0;5;13;1;1;Incêndios florestais;Climatológico
Curitiba;SC;0;1;15;0;0;Subsidência/Colapso de solo;Desastres Tecnológicos (simulando contaminação como consequência)
Recife;AP;0;2;6;0;0;Alagamentos;Hidrológico
Goiânia;PE;1;2;13;0;0;Granizo;Geológico
Valparaíso de Goiás;ES;1;1;10;0;0;Enxurradas;Geológico
Manaus;ES;0;0;14;0;0;Alagamentos;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Trindade;SP;0;4;13;0;0;Deslizamentos de terra;Hidrológico
Valparaíso de Goiás;ES;0;0;9;1;0;Vendavais e Ciclones;Climatológico
Rio Verde;SP;0;1;14;0;0;Chuvas Intensas;Hidrológico
Goiânia;MT;0;2;12;0;0;Inundações graduais;Climatológico
Jataí;RS;2;1;8;0;0;Inundações graduais;Hidrológico
Itumbiara;SE;1;3;16;0;1;Vendavais e Ciclones;Incêndios Florestais
Aparecida de Goiânia;AL;0;2;12;0;0;Deslizamentos de terra;Incêndios Florestais
Valparaíso de Goiás;MT;1;1;8;0;0;Alagamentos;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Belo Horizonte;RN;0;3;9;0;0;Incêndios florestais;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Valparaíso de Goiás;SC;0;2;12;0;0;Geada/Frentes frias;Geológico
Jataí;AC;1;2;14;0;0;Geada/Frentes frias;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Rio de Janeiro;RR;0;2;11;0;0;Vendavais e Ciclones;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Anápolis;SP;0;0;8;0;0;Chuvas Intensas;Desastres Tecnológicos (simulando contaminação como consequência)
